static_sku,name,category,unit,in_production_parts,in_migration_input_dryrun,evidence_class,decision_ref
TST-1047,Hopper Agitator - Pro Series,Mix System,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1070,Door Gasket - Gen II,Seals & Gaskets,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1074,Sanitizer Solution 32oz,Cleaning Supplies,bottle,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1080,Syrup Pump - Single Flavor,Mix System,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1112,Front Panel Assembly - Countertop,Cabinet Parts,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1136,Brush Kit — Large - Single Flavor,Cleaning Supplies,kit,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1143,Mix Pump Assembly - HD,Mix System,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1175,Auger Shaft - Single Flavor,Drive Components,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1189,Brush Kit — Small - Compact,Cleaning Supplies,kit,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
TST-1193,Compressor 1 HP - Countertop,Compressors,ea,ABSENT,ABSENT,production-derived(absent from 190 read-back) + repository-derived(present in static 200) + migration-package(absent from dry-run input),Decision #42 D-M3 (discontinued/inactive excluded pre-input)
