Classification,Status,Role,Object/Capability,Detail,Owner Decision Required
GM_ADMIN_OVERRIDE,RESOLVED,General Manager,Users / Roles-Permissions,"Matrix grants CRED. Implementing it literally creates a non-privileged Role able to grant itself anything. Owner ruling 2026-08-21: GM is business operations, not security administration.",No
CANONICAL_SOURCE_INTERNAL_CONTRADICTION,RESOLVED,Parts Manager,Inventory Adjustments,CRE granted while the row's own note said 'No business need identified'. 160 rows carry that note and grant nothing. Owner ruling: the NOTE WINS.,No
CANONICAL_SOURCE_INTERNAL_CONTRADICTION,RESOLVED,Parts Manager,Purchase Orders,CRE granted while the row's own note said 'No business need identified'. 160 rows carry that note and grant nothing. Owner ruling: the NOTE WINS.,No
CANONICAL_SOURCE_INTERNAL_CONTRADICTION,RESOLVED,Parts Manager,Receiving,CRE granted while the row's own note said 'No business need identified'. 160 rows carry that note and grant nothing. Owner ruling: the NOTE WINS.,No
CANONICAL_SOURCE_INTERNAL_CONTRADICTION,RESOLVED,Parts Manager,Transfer Orders,CRE granted while the row's own note said 'No business need identified'. 160 rows carry that note and grant nothing. Owner ruling: the NOTE WINS.,No
MATRIX_OWNER_DECISION_CONFLICT,OPEN,Service Manager (fieldManager),Parts Catalog,Canonical row says R; a recorded Owner ruling grants inventory.catalog.manage. Grant preserved. Should the reconciled matrix supersede that ruling and reduce Service Manager to catalog read?,YES
REJECTED_SEMANTIC_MAPPING,GUARDED,(all roles),Equipment / Installed Base,Installed base is the customer's assets; equipment.model.manage administers the MODEL CATALOG. Mapping them would grant catalog administration to technicians and shop staff.,No
REJECTED_SEMANTIC_MAPPING,GUARDED,(all roles),Inventory Adjustments,One CRUD cell must not yield cycle-count Counter AND Reconciler; that collapses DECISIONS 111 into a checkbox.,No
REJECTED_SEMANTIC_MAPPING,GUARDED,(all roles),Contacts,"crm.activity.* is activity LOGGING, confined to crmActivityContributor by Owner ruling 2026-08-19. The contact RECORD is Rules-governed.",No
RULE_GOVERNED,ACCEPTED,(all roles),Contacts / Customer Locations / Installed Base / Notifications / Technician Time,"Authority enforced by firestore.rules. No capability abstraction exists, and none was invented to make the grid symmetrical.",No
REPORTING_OWNERSHIP_UNRESOLVED,OPEN,(management roles),report.* (39 capabilities),The workbook does not model reporting. All 39 remain Owner/Admin-only. Recommendation prepared; no autonomous grant.,YES
COVERAGE_TERRITORY_AUTHORITY_GAP,OPEN,Sales and management roles,coverage.read / coverage.write,Matrix scopes and role descriptions assume own/team/territory visibility; no scope model exists. Not solvable by broad grants.,YES
FUNCTIONAL_GAP,OPEN,(returns),Return Disposition,"DECISIONS 118 separates intake from disposition. Disposition has no capability and no workflow, so the SoD currently holds by absence rather than by separation.",YES
LEGACY_COMPATIBILITY_ANOMALY,OPEN,dispatcher,Sales Orders,"dispatcher holds salesOrder.write/fulfill/service from compatibility history, making it the de facto commercial writer. Left unchanged; reduction needs its own regression pass.",YES
LEGACY_COMPATIBILITY_ANOMALY,OPEN,technician,Purchasing,technician holds 9 of purchasingManager's capabilities including reorder.purchaseOrder.create. Left unchanged pending compatibility cleanup.,YES
RETIRE_CANDIDATE,OPEN,inventoryCreateExecutor,(functional Role),Its own definition marks it temporary. Not removed here; removal needs proof that no workflow depends on it.,YES
INTENTIONAL_OVERLAP,ACCEPTED,Controller / Accounting Manager; Shop Manager / Shop Associate,(capability sets),Identical sets today. The business runs these positions over the same responsibilities; differences are made through employee-level assignment rather than by splitting the Role.,No
EQUIPMENT_ADMIN_UNRESOLVED,OPEN,(management roles),equipment.model.manage / equipment.compatibility.*,"Five capabilities remain Owner/Admin-only. Deliberately NOT inferred from Installed Base CRUD, which governs a different object. Recommendation prepared.",YES
