sku,name,category,unit,cost,price,reorderThreshold,warehouseQty
TST-1001,Hex Coupler,Drive Components,ea,17.89,38.02,1,2
TST-1002,Tune-Up Kit — Deluxe - 3 Ton,Maintenance Kits,kit,59.27,119.29,1,6
TST-1003,Freezer Cylinder - Compact,Refrigeration Assembly,ea,258.25,751.01,4,20
TST-1004,Hopper Agitator - Single Flavor,Mix System,ea,41.38,88.69,1,4
TST-1005,Syrup Pump - Floor Model,Mix System,ea,42.02,88.62,2,2
TST-1006,Auger Shaft - Gen II,Drive Components,ea,26.16,71.61,3,8
TST-1007,Door Gasket - HD,Seals & Gaskets,ea,7.17,18.72,2,2
TST-1008,Sanitizer Solution 32oz - Countertop,Cleaning Supplies,bottle,11.55,22.78,2,6
TST-1009,Beater Assembly,Drive Components,ea,86.44,252.25,1,6
TST-1010,Drive Belt - Gen II,Drive Components,ea,8.03,18.39,2,4
TST-1011,Mix Pump Tube - Floor Model,Mix System,ea,5.63,10.93,4,2
TST-1012,Brush Kit — Large - Twin Twist,Cleaning Supplies,kit,20.33,38.68,2,12
TST-1013,Thermistor Sensor - Compact,Electrical,ea,7.31,14.39,1,6
TST-1014,Door Gasket - Floor Model,Seals & Gaskets,ea,7.88,16.02,3,10
TST-1015,Condenser Fan Motor - HD,Compressors,ea,45.04,125.61,2,4
TST-1016,Expansion Valve - Twin Twist,Refrigeration Assembly,ea,21.01,48.56,2,12
TST-1017,Brush Kit — Small - Gen II,Cleaning Supplies,kit,10.39,23.07,1,20
TST-1018,Consistency Control Knob - 3 Ton,Controls,ea,9.35,21.34,1,4
TST-1019,Syrup Pump - Pro Series,Mix System,ea,31.98,70.4,2,20
TST-1020,Expansion Valve - Compact,Refrigeration Assembly,ea,41.06,82.34,4,2
TST-1021,Tune-Up Kit — Deluxe - Countertop,Maintenance Kits,kit,61.81,132.64,2,12
TST-1022,Beater Motor - HD,Motors,ea,78.93,240.78,4,8
TST-1023,Draw Handle - Twin Twist,Controls,ea,13.48,25.15,4,8
TST-1024,Draw Handle - Pro Series,Controls,ea,9.52,18.98,1,20
TST-1025,Tune-Up Kit — Standard,Maintenance Kits,kit,26.6,58.96,1,10
TST-1026,Relay Switch - Single Flavor,Electrical,ea,6.12,15.51,1,2
TST-1027,Tune-Up Kit — Deluxe - Twin Twist,Maintenance Kits,kit,38.29,84.63,3,4
TST-1028,Brush Kit — Large - Gen II,Cleaning Supplies,kit,21.62,47.29,4,6
TST-1029,Relay Switch - Gen II,Electrical,ea,16.83,39.87,2,20
TST-1030,Drip Tray - 3 Ton,Cabinet Parts,ea,9.59,17.7,1,20
TST-1031,Freezer Cylinder - Pro Series,Refrigeration Assembly,ea,220.07,560.11,4,0
TST-1032,Freezer Cylinder - 3 Ton,Refrigeration Assembly,ea,283.48,902.71,1,20
TST-1033,Evaporator Barrel - Countertop,Refrigeration Assembly,ea,229.97,607.45,1,15
TST-1034,Evaporator Barrel - HD,Refrigeration Assembly,ea,249.36,654.55,1,12
TST-1035,Air Valve Assembly - Gen II,Pneumatics,ea,16.42,41.44,1,2
TST-1036,O-Ring Kit - Gen II,Seals & Gaskets,kit,7.59,17.65,1,6
TST-1037,Compressor 1.5 HP - Single Flavor,Compressors,ea,227.12,559.43,1,8
TST-1038,Splash Panel - Single Flavor,Cabinet Parts,ea,22.77,46.23,3,2
TST-1039,O-Ring Kit - Compact,Seals & Gaskets,kit,7.84,19.38,1,4
TST-1040,Hopper Agitator - HD,Mix System,ea,36.1,91.1,1,4
TST-1041,Mix Pump Assembly,Mix System,ea,134.4,317.36,2,8
TST-1042,Syrup Pump - Compact,Mix System,ea,53.55,121.26,1,8
TST-1043,Condenser Fan Motor,Compressors,ea,56.25,142.13,4,10
TST-1044,O-Ring Kit,Seals & Gaskets,kit,7.28,15.35,3,4
TST-1045,Auger Shaft - Twin Twist,Drive Components,ea,30.24,68.22,1,12
TST-1046,Hex Coupler - Pro Series,Drive Components,ea,10.57,24.65,3,2
TST-1047,Hopper Agitator - Pro Series,Mix System,ea,45,97.39,2,6
TST-1048,Power Supply Board - Single Flavor,Electrical,ea,39.35,81.25,4,8
TST-1049,Splash Panel - Floor Model,Cabinet Parts,ea,19.46,47.87,1,15
TST-1050,Cleaning Cartridge - Pro Series,Cleaning Supplies,ea,12.98,21.95,1,20
TST-1051,Air Valve Assembly - 3 Ton,Pneumatics,ea,27.42,60.17,1,15
TST-1052,Cleaning Cartridge - Compact,Cleaning Supplies,ea,5.06,10.09,2,2
TST-1053,Drive Motor 1/4 HP - Countertop,Motors,ea,73.67,189.23,3,4
TST-1054,Thermistor Sensor - Countertop,Electrical,ea,10.09,22.1,1,8
TST-1055,Draw Handle - HD,Controls,ea,8.65,20.02,1,2
TST-1056,Syrup Pump - Countertop,Mix System,ea,31.62,68.75,1,8
TST-1057,Sanitizer Solution 32oz - Gen II,Cleaning Supplies,bottle,11.25,19.29,4,4
TST-1058,Tune-Up Kit — Deluxe,Maintenance Kits,kit,60.78,137.59,1,12
TST-1059,Drive Motor 1/4 HP,Motors,ea,63.47,204.66,1,10
TST-1060,Condenser Fan Motor - Single Flavor,Compressors,ea,62.2,150.02,3,12
TST-1061,Cleaning Cartridge - Twin Twist,Cleaning Supplies,ea,12.07,21.11,1,4
TST-1062,Hopper Agitator,Mix System,ea,26.63,68.45,2,6
TST-1063,Thermistor Sensor - Twin Twist,Electrical,ea,13.8,25.75,1,15
TST-1064,Freezer Cylinder - Single Flavor,Refrigeration Assembly,ea,303.81,858.29,2,6
TST-1065,Freezer Cylinder,Refrigeration Assembly,ea,280.93,780.02,2,2
TST-1066,Thermistor Sensor - Floor Model,Electrical,ea,11.37,22.83,3,10
TST-1067,Blade Assembly Kit - 3 Ton,Wear Parts,kit,35.28,83.24,3,8
TST-1068,Door Gasket - 3 Ton,Seals & Gaskets,ea,9.14,19.93,2,12
TST-1069,Brush Kit — Large - Compact,Cleaning Supplies,kit,13.94,30.31,1,8
TST-1070,Door Gasket - Gen II,Seals & Gaskets,ea,3.12,8.03,3,6
TST-1071,Mix Pump Tube - Gen II,Mix System,ea,4.16,8.98,2,10
TST-1072,Hex Coupler - Countertop,Drive Components,ea,13.31,31.69,2,12
TST-1073,Control Board - Compact,Electrical,ea,70.88,179.28,2,4
TST-1074,Sanitizer Solution 32oz,Cleaning Supplies,bottle,9.07,15.95,3,10
TST-1075,Splash Panel - HD,Cabinet Parts,ea,15.92,33.26,2,4
TST-1076,Auger Shaft - Countertop,Drive Components,ea,47.12,121.85,2,2
TST-1077,Drive Motor 1/2 HP,Motors,ea,80.65,267.39,3,2
TST-1078,Splash Panel - Gen II,Cabinet Parts,ea,20.61,46.58,4,12
TST-1079,Consistency Control Knob - Gen II,Controls,ea,6.35,13.66,1,2
TST-1080,Syrup Pump - Single Flavor,Mix System,ea,30.78,79.95,3,15
TST-1081,Evaporator Barrel - 3 Ton,Refrigeration Assembly,ea,171.19,535.2,4,20
TST-1082,Sanitizer Solution 32oz - Pro Series,Cleaning Supplies,bottle,7.85,16.12,2,20
TST-1083,Drip Tray - Twin Twist,Cabinet Parts,ea,14.21,29.1,2,6
TST-1084,Consistency Control Knob - Single Flavor,Controls,ea,7.62,14.12,2,6
TST-1085,Power Supply Board - Compact,Electrical,ea,32.02,66.45,2,4
TST-1086,Condenser Fan Motor - 3 Ton,Compressors,ea,53.09,127.34,2,12
TST-1087,O-Ring Kit - Single Flavor,Seals & Gaskets,kit,9.5,19.33,3,0
TST-1088,Lubricant Tube 4oz - Gen II,Cleaning Supplies,tube,5.98,11.82,2,12
TST-1089,Hopper Agitator - Compact,Mix System,ea,48.25,111.06,3,6
TST-1090,Thermistor Sensor - Gen II,Electrical,ea,9.84,19.71,4,12
TST-1091,Drive Motor 1/4 HP - Pro Series,Motors,ea,68.89,222.73,3,0
TST-1092,Drive Motor 1/4 HP - HD,Motors,ea,72.75,194.54,2,6
TST-1093,Wiring Harness - Gen II,Electrical,ea,12.68,29.74,2,8
TST-1094,Auger Shaft - HD,Drive Components,ea,24.69,62.33,2,6
TST-1095,Blade Assembly Kit - Single Flavor,Wear Parts,kit,20.59,45.96,1,6
