partId,internalPartNumber,name,category,stockingUnit,status,source_provenance
TST-1001,NOT_EXPOSED_IN_SOURCE,Hex Coupler,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1002,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Deluxe - 3 Ton,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1003,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1004,NOT_EXPOSED_IN_SOURCE,Hopper Agitator - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1005,NOT_EXPOSED_IN_SOURCE,Syrup Pump - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1006,NOT_EXPOSED_IN_SOURCE,Auger Shaft - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1007,NOT_EXPOSED_IN_SOURCE,Door Gasket - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1008,NOT_EXPOSED_IN_SOURCE,Sanitizer Solution 32oz - Countertop,NOT_EXPOSED_IN_SOURCE,BOTTLE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1009,NOT_EXPOSED_IN_SOURCE,Beater Assembly,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1010,NOT_EXPOSED_IN_SOURCE,Drive Belt - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1011,NOT_EXPOSED_IN_SOURCE,Mix Pump Tube - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1012,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - Twin Twist,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1013,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1014,NOT_EXPOSED_IN_SOURCE,Door Gasket - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1015,NOT_EXPOSED_IN_SOURCE,Condenser Fan Motor - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1016,NOT_EXPOSED_IN_SOURCE,Expansion Valve - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1017,NOT_EXPOSED_IN_SOURCE,Brush Kit — Small - Gen II,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1018,NOT_EXPOSED_IN_SOURCE,Consistency Control Knob - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1019,NOT_EXPOSED_IN_SOURCE,Syrup Pump - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
